uniqueid,drugname,condition,rating,date,usefulcount
8962,Viagra,Erectile Dysfunction,10,2011-07-05,20
205578,Pristiq,Depression,7,2012-05-16,17
155721,Metronidazole,Diverticulitis,8,2011-03-22,50
170346,Quetiapine,Bipolar Disorde,9,2016-03-23,13
88423,Adderall,ADHD,10,2013-06-02,38
23454,Methadone,Pain,10,2010-09-26,28
187478,Monistat 3-Day Combination Pack,Vaginal Yeast Infection,9,2017-01-20,8
146566,Tamsulosin,Overactive Bladde,3,2015-10-09,7
138611,Phentermine,Not Listed / Othe,10,2012-07-10,7
90859,Roxicodone,Pain,10,2011-11-26,23
27438,Requip,Restless Legs Syndrome,10,2017-01-29,33
213217,Nuvigil,ibromyalgia,8,2012-08-08,43
64616,Sertraline,Depression,10,2016-02-07,20
151993,Chantix,Smoking Cessation,10,2011-06-22,9
50239,Gabapentin,Diabetic Peripheral Neuropathy,1,2014-09-06,57
74686,Wellbutrin SR,Depression,9,2011-12-18,36
24162,Tretinoin,Acne,10,2013-10-21,67
25936,Lamisil,"Onychomycosis, Toenail",5,2015-09-26,31
76715,Lorcaserin,Weight Loss,2,2016-09-28,11
166783,Levonorgestrel,Emergency Contraception,5,2016-08-05,5
131165,Levonorgestrel,Birth Control,9,2008-04-30,235
40051,Contrave,Obesity,9,2015-04-29,46
24878,Avodart,Benign Prostatic Hyperplasia,5,2009-08-31,102
123649,Skyla,Birth Control,10,2017-04-04,7
105373,Carbamazepine,Bipolar Disorde,6,2011-05-31,12
218248,Amoxicillin / clavulanate,Bacterial Infection,3,2015-12-08,5
71926,Tramadol,Pain,10,2015-11-20,17
229501,Lurasidone,Bipolar Disorde,9,2015-11-26,24
67640,Plan B,Emergency Contraception,8,2017-04-18,4
139618,Etodolac,Pain,9,2013-11-27,62
48864,Ethinyl estradiol / levonorgestrel,Birth Control,10,2016-12-14,16
110879,Farxiga,"Diabetes, Type 2",5,2016-12-29,12
46541,Sulfasalazine,Ulcerative Colitis,3,2017-04-30,0
152754,Doxycycline,Bronchitis,10,2017-09-30,3
227224,Etonogestrel,Birth Control,3,2014-02-20,11
2534,Camrese,Birth Control,10,2015-02-24,3
114993,Diazepam,Anxiety,10,2016-03-10,61
100352,Desogestrel / ethinyl estradiol,Birth Control,9,2016-08-22,3
179492,Olanzapine,Schizophrenia,8,2009-01-01,109
180096,Prednisolone,Postoperative Ocular Inflammation,2,2016-12-17,7
218764,Opana ER,Pain,6,2014-11-23,50
214262,Tioconazole,,10,2015-11-03,0
58749,Azelaic acid,Rosacea,2,2014-03-30,33
221031,Junel Fe 1.5 / 30,5</span> users found this comment helpful.,10,2011-09-29,5
51203,Azithromycin,Bronchitis,7,2016-01-24,29
16719,Yaz,Menstrual Disorders,4,2010-01-20,8
16672,Yaz,Birth Control,8,2009-10-07,0
219401,Dexmethylphenidate,Auditory Processing Disorde,10,2013-04-13,21
108600,Yuvafem,Atrophic Vaginitis,1,2017-11-15,0
5210,Zonisamide,Migraine Prevention,8,2012-04-12,47
87685,Naproxen,"Gout, Acute",9,2011-05-18,64
190595,Oxybutynin,Urinary Incontinence,10,2016-05-18,33
144310,Etonogestrel,Birth Control,5,2016-05-17,1
133674,Bactrim DS,Prevention of Bladder infection,3,2016-12-31,4
86456,Invokana,"Diabetes, Type 2",8,2016-03-03,19
98484,Nexplanon,Birth Control,10,2014-09-22,16
77532,Cephalexin,Bacterial Infection,5,2016-11-22,1
114446,Hydrea,"Anemia, Sickle Cell",3,2014-01-19,15
31960,Miconazole,Vaginal Yeast Infection,5,2015-03-25,9
211553,Ortho D,Dietary Supplementation,5,2016-03-16,0
9106,Lo Loestrin Fe,Birth Control,2,2017-11-14,3
44051,Ethinyl estradiol / norgestimate,Birth Control,6,2012-01-03,2
125030,Dulcolax,Constipation,1,2017-04-07,10
38737,Liletta,Birth Control,9,2016-01-20,7
11565,Trulicity,"Diabetes, Type 2",1,2017-11-17,0
194686,Trulance,Chronic Idiopathic Constipation,1,2017-05-27,14
119515,Testosterone,"Hypogonadism, Male",7,2012-03-18,16
148776,Mirena,Birth Control,10,2016-05-17,7
131430,Generess Fe,Birth Control,4,2013-10-27,10
34691,Minocycline,Acne,10,2016-01-09,8
17246,Naphazoline / pheniramine,Eye Redness/Itching,9,2008-09-07,19
97879,Nexplanon,Birth Control,1,2015-10-09,2
108722,Nexplanon,Birth Control,1,2017-10-30,3
168085,Jolessa,Abnormal Uterine Bleeding,3,2015-04-23,1
131788,Effexor XR,Depression,9,2015-10-10,45
114708,Methotrexate,Rheumatoid Arthritis,7,2016-04-18,31
224687,Bupropion,Depression,10,2017-05-20,60
152203,Ciprofloxacin,Prostatitis,3,2016-01-24,9
97621,Synvisc,Osteoarthritis,8,2008-10-17,96
129853,Levonorgestrel,Birth Control,10,2015-04-26,13
99811,Magnesium sulfate / potassium sulfate / sodium sulfate,Bowel Preparation,2,2016-05-24,14
165,Medroxyprogesterone,Abnormal Uterine Bleeding,1,2015-09-14,6
70936,Magnesium citrate,Constipation,10,2015-05-12,34
197903,Metoprolol,High Blood Pressure,7,2016-09-29,14
44960,Fluoxetine,Premenstrual Dysphoric Disorde,8,2017-03-12,28
105312,Carbamazepine,Epilepsy,9,2013-02-13,45
132020,Effexor XR,Panic Disorde,7,2008-08-05,31
193446,Cyclobenzaprine,Muscle Spasm,7,2012-03-10,45
87592,Naproxen,Period Pain,10,2014-12-22,52
225061,Bupropion,Depression,8,2016-04-29,118
22240,Testim,"Hypogonadism, Male",8,2012-05-18,53
41108,Acetaminophen / oxycodone,Chronic Pain,10,2013-07-21,163
208828,Belsomra,Insomnia,1,2016-03-12,24
223021,Topamax,Seizure Prevention,2,2009-08-12,24
71197,Viberzi,Irritable Bowel Syndrome,10,2016-05-16,31
115566,Propofol,Anesthesia,10,2011-10-17,7
61684,Citalopram,Anxiety and Stress,6,2016-07-04,5
17496,Ethinyl estradiol / etonogestrel,Birth Control,1,2016-12-01,7
176512,Lorazepam,Anxiety,10,2013-04-23,24
217703,Strattera,ADHD,1,2017-02-01,3
84081,Ethinyl estradiol / norgestimate,Birth Control,7,2017-04-21,1
204806,Cyproheptadine,Anorexia,9,2017-06-05,16
71335,Levora,Birth Control,1,2015-10-16,10
60329,NuvaRing,Birth Control,10,2011-07-06,7
116554,Advil,Pain,10,2008-05-22,21
95140,Guanfacine,ADHD,2,2016-08-18,20
174308,Tri-Lo-Sprintec,Abnormal Uterine Bleeding,1,2016-06-14,0
128699,Phentermine,Obesity,10,2015-04-28,37
169450,Vivarin,25</span> users found this comment helpful.,10,2011-09-18,25
39796,Contrave,Obesity,9,2015-11-04,18
231067,Milnacipran,ibromyalgia,8,2009-10-06,28
16295,Ethinyl estradiol / norethindrone,Birth Control,9,2016-04-18,2
127788,Phentermine,Weight Loss,10,2017-02-27,27
141438,Escitalopram,Depression,9,2013-12-18,7
48084,Cariprazine,Bipolar Disorde,2,2016-09-17,20
173617,Brexpiprazole,Schizophrenia,7,2017-02-09,10
117964,Imuran,Myasthenia Gravis,8,2009-08-27,43
131786,Effexor XR,Depression,1,2015-10-25,29
22276,Baclofen,Muscle Spasm,10,2013-03-02,86
17033,Phillips' Milk of Magnesia,Constipation,5,2016-05-29,9
117170,Synvisc-One,Osteoarthritis,9,2015-09-29,50
107527,Implanon,Birth Control,10,2011-05-02,0
8119,Zolpidem,Insomnia,2,2017-09-16,1
41125,Acetaminophen / oxycodone,Pain,9,2011-09-23,7
186220,Desvenlafaxine,Depression,9,2013-05-16,43
94696,Abilify,Major Depressive Disorde,4,2015-06-07,15
39129,Contrave,Weight Loss,9,2017-05-28,8
182637,Cymbalta,Anxiety,8,2017-12-01,0
14902,Ethinyl estradiol / norethindrone,Birth Control,10,2017-08-18,3
51713,Aczone,Acne,10,2014-03-06,39
225736,Bupropion,Depression,9,2012-03-27,70
6975,Aluminum chloride hexahydrate,Hyperhidrosis,10,2015-10-12,2
32788,Mexiletine,Arrhythmia,6,2010-09-13,7
55597,Dabigatran,Prevention of Thromboembolism in Atrial Fibrillation,3,2011-05-31,55
39634,Contrave,Obesity,10,2016-02-28,36
66326,Valacyclovir,Cold Sores,10,2015-03-06,11
102009,Silenor,Insomnia,1,2011-03-25,30
68564,Medroxyprogesterone,Endometriosis,7,2017-06-29,6
98800,Microgestin 1 / 20,Birth Control,1,2017-01-04,4
158967,TriNessa,Birth Control,2,2016-10-04,7
231614,Trazodone,Insomnia,8,2015-07-23,25
22210,Baclofen,Alcohol Withdrawal,10,2015-01-04,96
44316,Ethinyl estradiol / norgestimate,Ovarian Cysts,1,2010-12-30,3
207385,Suprep Bowel Prep Kit,Bowel Preparation,3,2017-04-21,4
59497,Avelox,Pneumonia,9,2013-06-11,33
166937,Levonorgestrel,Birth Control,5,2016-07-09,6
223534,Sutent,Renal Cell Carcinoma,9,2014-02-26,64
106979,Implanon,Birth Control,8,2013-10-30,12
151753,Chantix,Smoking Cessation,8,2014-03-24,23
65892,Propranolol,mance Anxiety,9,2015-08-25,24
148905,Mirena,Birth Control,10,2015-12-15,18
99884,Magnesium sulfate / potassium sulfate / sodium sulfate,Bowel Preparation,1,2016-07-14,9
65490,Yasmin,Birth Control,9,2010-12-26,17
96958,Ambien,Insomnia,9,2016-01-24,32
91800,Lyrica,Neuralgia,10,2016-09-13,26
53299,femhrt,Menstrual Disorders,10,2010-10-06,7
60896,Oramorph SR,Pain,4,2009-12-23,22
58602,Niacin,High Cholesterol,8,2009-06-24,27
42487,Concerta,ADHD,9,2015-05-15,23
175577,Augmentin,Upper Respiratory Tract Infection,10,2014-11-26,17
145552,Qsymia,Weight Loss,5,2016-12-23,27
67436,Provera,Abnormal Uterine Bleeding,1,2015-05-13,37
109807,Nexplanon,Birth Control,6,2016-06-29,5
199717,Varenicline,Smoking Cessation,10,2017-05-18,13
88348,Adderall,ADHD,10,2015-02-06,62
136113,Acamprosate,Alcohol Dependence,10,2014-09-18,103
146129,Suboxone,Opiate Dependence,10,2014-03-27,45
208184,Correctol,Constipation,9,2014-04-24,7
158953,Celestone,Dermatological Disorders,8,2011-05-14,14
14256,Myrbetriq,Overactive Bladde,10,2013-11-16,120
150467,Sulfamethoxazole / trimethoprim,Urinary Tract Infection,1,2017-02-28,19
189647,Oxycodone,Pain,10,2009-09-18,9
191077,Campral,Alcohol Dependence,10,2014-11-21,181
37521,Vyvanse,ADHD,8,2011-12-07,39
23503,Methadone,Opiate Withdrawal,10,2008-08-03,43
169981,Quetiapine,Insomnia,8,2017-12-11,1
212900,Tizanidine,Muscle Spasm,2,2016-07-01,9
150917,Sulfamethoxazole / trimethoprim,Urinary Tract Infection,4,2012-05-13,43
126945,Metoclopramide,Gastroparesis,10,2017-02-20,11
221017,Junel Fe 1.5 / 30,Birth Control,10,2016-10-18,4
88241,Clindamycin,Sinusitis,1,2009-06-11,22
148846,Mirena,Birth Control,9,2016-02-07,19
132862,Loestrin 24 Fe,Acne,1,2017-01-26,3
205314,Pristiq,Depression,9,2017-01-15,38
58361,Benazepril,High Blood Pressure,4,2009-05-31,30
63337,Epiduo,Acne,9,2016-12-02,3
29993,Klonopin,Anxiety,2,2016-04-25,63
92519,Ondansetron,Nausea/Vomiting,10,2014-11-19,16
147339,Alprazolam,Anxiety,9,2011-12-05,13
115181,Diazepam,Anxiety,9,2010-07-23,7
21709,Guaifenesin / pseudoephedrine,Cough and Nasal Congestion,1,2015-03-12,9
142397,Levonorgestrel,Emergency Contraception,7,2017-10-04,1
82030,Liraglutide,Obesity,10,2016-08-02,17
199984,Varenicline,Smoking Cessation,10,2016-01-26,11
126618,Eletriptan,Migraine,8,2016-11-29,6
171509,Wellbutrin,Depression,4,2015-08-31,39
105149,Dasabuvir / ombitasvir / paritaprevir / ritonavir,Hepatitis C,1,2016-01-23,9
36560,Fentanyl,Chronic Pain,10,2015-10-27,45
189892,Jardiance,"Diabetes, Type 2",9,2014-10-14,65
53555,Alesse,Birth Control,8,2017-01-24,4
72853,Ethinyl estradiol / norethindrone,Menstrual Disorders,1,2015-06-30,4
77575,Cephalexin,Bladder Infection,8,2015-12-31,64
122147,Venlafaxine,Anxiety and Stress,9,2009-10-18,39
135542,Tamiflu,Influenza,9,2009-09-05,13
21171,Paliperidone,Schizoaffective Disorde,10,2012-06-11,50
55831,Effexor,Depression,1,2012-12-07,47
89960,Risperdal,Schizophrenia,10,2015-07-07,21
137313,Isotretinoin,Acne,9,2012-09-13,19
145788,Qsymia,Obesity,10,2013-12-10,119
82220,Liraglutide,Obesity,9,2016-03-20,30
60523,Ranexa,Angina,10,2015-03-20,48
104253,Ethinyl estradiol / levonorgestrel,Birth Control,9,2012-12-19,35
31108,Miconazole,Vaginal Yeast Infection,3,2017-01-01,9
10236,Axiron,"Hypogonadism, Male",1,2012-04-29,15
76690,Lorcaserin,Weight Loss,1,2017-01-06,15
71647,Tramadol,Chronic Pain,1,2017-09-04,5
139669,Nora-Be,Birth Control,2,2017-09-30,4
115664,Radium 223 dichloride,Prostate Cance,10,2016-09-29,2
37603,Vyvanse,ADHD,8,2010-06-17,8
133903,Hydrochlorothiazide / triamterene,Edema,9,2017-08-20,2
185662,Saxenda,Weight Loss,10,2016-10-12,17
102330,Clindamycin / tretinoin,Acne,10,2013-07-15,14
124169,Skyla,Birth Control,8,2016-05-01,1
143314,Etonogestrel,Birth Control,1,2017-03-25,9
154165,Nexium,GERD,9,2017-05-30,4
210532,Frova,Migraine,10,2008-10-10,9
48990,Ethinyl estradiol / levonorgestrel,Birth Control,2,2016-09-26,10
3065,Nitrofurantoin,Urinary Tract Infection,2,2017-05-07,8
131340,Finacea,Rosacea,9,2017-11-13,0
222846,Topamax,Migraine Prevention,1,2013-05-11,31
196795,Paroxetine,Anxiety and Stress,4,2017-04-30,5
188905,Arimidex,Breast Cance,8,2011-03-26,139
79771,Xarelto,Atrial Fibrillation,1,2016-12-27,33
27075,Ultram,Pain,4,2009-12-10,30
150668,Sulfamethoxazole / trimethoprim,Sinusitis,5,2015-03-13,15
57580,Acetaminophen / hydrocodone,Back Pain,9,2017-04-04,2
58757,Azelaic acid,Rosacea,8,2013-02-26,26
221840,Biaxin XL,Pneumonia,10,2017-04-20,6
181925,Inderal,Migraine Prevention,9,2013-05-01,55
22367,Testim,"Hypogonadism, Male",8,2008-06-04,65
152406,Ciprofloxacin,Bladder Infection,10,2013-04-25,71
179291,Olanzapine,Major Depressive Disorde,10,2015-03-10,21
147292,Alprazolam,Anxiety,10,2012-01-06,3
75257,Vistaril,Anxiety,7,2016-06-24,39
120951,Venlafaxine,Depression,8,2017-07-27,5
21907,Eliquis,Prevention of Thromboembolism in Atrial Fibrillation,8,2016-05-18,46
36509,Fentanyl,Dercum's Disease,10,2015-02-19,19
163650,Mirtazapine,Depression,8,2013-09-19,136
35711,Buprenorphine / naloxone,Opiate Dependence,1,2016-02-04,10
215344,Senna,Constipation,1,2017-11-16,0
77173,Lorcaserin,Weight Loss,10,2014-05-20,78
175370,Scopolamine,Motion Sickness,8,2013-03-23,19
134619,Ketorolac,Pain,3,2013-08-05,35
159312,Januvia,"Diabetes, Type 2",1,2017-05-24,31
84850,Ethinyl estradiol / norgestimate,Birth Control,2,2016-03-31,2
222905,Topamax,Bipolar Disorde,10,2010-05-11,74
199490,Depo-Provera,Birth Control,8,2015-01-14,34
25708,Ethinyl estradiol / norelgestromin,Birth Control,6,2014-04-21,17
186448,Desvenlafaxine,Depression,8,2011-02-07,10
195595,Aviane,Birth Control,5,2015-01-07,8
149373,Mirena,Abnormal Uterine Bleeding,8,2014-07-26,43
155446,Metronidazole,Bacterial Vaginitis,10,2015-01-01,19
217718,Strattera,ADHD,8,2016-10-07,25
168783,Vilazodone,Depression,10,2015-02-06,61
217913,Strattera,ADHD,6,2009-01-22,50
203460,Indomethacin,Cluster Headaches,7,2009-09-06,8
119022,Zoloft,Anxiety and Stress,7,2010-04-19,15
178852,Victoza,"Diabetes, Type 2",9,2012-07-13,20
53247,Eptifibatide,Percutaneous Coronary Intervention,8,2008-02-27,1
96501,Sertraline,Depression,10,2009-01-18,680
137084,Isotretinoin,Acne,10,2016-03-21,21
191575,Lisdexamfetamine,ADHD,3,2014-02-06,42
133738,Bactrim DS,Urinary Tract Infection,1,2015-03-08,9
144923,Etonogestrel,Birth Control,3,2015-12-19,4
188530,ParaGard,Birth Control,9,2016-05-10,4
10739,Spironolactone,Acne,9,2014-09-20,52
68064,Plan B,Emergency Contraception,10,2016-01-06,4
151055,Sulfamethoxazole / trimethoprim,Bacterial Skin Infection,8,2008-06-05,74
206692,Levalbuterol,"Asthma, acute",10,2016-11-03,1
216055,Copper,Birth Control,8,2015-12-15,4
196988,Paroxetine,Anxiety,1,2016-04-25,21
165580,Levonorgestrel,Emergency Contraception,10,2017-05-16,7
181868,Inderal,Migraine Prevention,8,2009-10-10,93
133555,Ibrance,"Breast Cancer, Metastatic",1,2017-01-12,27
146951,Alprazolam,Tinnitus,9,2015-12-12,17
52385,Pantoprazole,GERD,10,2014-12-21,23
154313,Reglan,Nausea/Vomiting,1,2015-06-08,10
61530,Citalopram,Anxiety and Stress,6,2016-11-27,24
29615,Topiramate,Migraine Prevention,9,2014-12-06,6
166207,Levonorgestrel,Emergency Contraception,10,2016-12-26,5
103832,Ethinyl estradiol / levonorgestrel,Birth Control,8,2015-02-09,2
180977,Valproic acid,Bipolar Disorde,10,2017-03-17,7
117465,Nortriptyline,Pain,7,2016-12-10,37
163085,ella,Emergency Contraception,9,2017-08-20,25
14190,Patanase,Allergic Rhinitis,10,2012-01-08,10
221369,Dextromethorphan,Cough,1,2017-01-09,0
94903,Abilify,Bipolar Disorde,7,2010-05-26,12
19191,Pregabalin,ibromyalgia,2,2017-02-07,32
121771,Venlafaxine,Depression,8,2014-05-03,93
172140,Amitiza,Irritable Bowel Syndrome,1,2009-10-22,23
125525,Creon,Cystic Fibrosis,10,2008-04-14,14
104781,Ethinyl estradiol / levonorgestrel,Birth Control,4,2010-09-24,2
208106,Suprep Bowel Prep Kit,Bowel Preparation,9,2013-03-13,40
55321,Bupropion / naltrexone,Obesity,3,2015-12-12,5
97257,Ambien,Insomnia,2,2009-03-26,24
9006,Clobetasol,Psoriasis,8,2017-04-04,9
82015,Liraglutide,Obesity,10,2016-06-29,37
98272,Nexplanon,Birth Control,9,2015-05-30,2
144654,Etonogestrel,Birth Control,9,2016-02-16,1
174806,Dextromethorphan / guaifenesin,Cough,9,2015-02-28,9
145719,Qsymia,Weight Loss,9,2015-06-03,21
159959,Bactrim,Acne,8,2009-01-11,31
159810,Bactrim,Bacterial Skin Infection,10,2016-06-18,18
45328,Fluoxetine,Depression,10,2015-08-07,98
152332,Ciprofloxacin,Urinary Tract Infection,10,2015-01-19,18
52963,Indocin SR,Ankylosing Spondylitis,6,2010-03-11,10
13108,Xolair,"Asthma, Maintenance",9,2017-08-31,3
95968,Sertraline,Depression,10,2013-05-26,179
209018,Corticotropin,Polymyositis/Dermatomyositis,3,2016-11-18,3
204062,Veltin,Acne,1,2016-08-17,4
147772,Norethindrone,Birth Control,9,2017-05-07,6
153273,Doxycycline,Acne,7,2015-03-31,7
151907,Chantix,Smoking Cessation,9,2012-10-12,18
113368,Bisacodyl,Constipation,9,2015-03-09,2
110951,Diclegis,Nausea/Vomiting of Pregnancy,1,2017-11-27,0
189147,Oxycodone,Chronic Pain,5,2016-10-07,15
152567,Lortab,Pain,9,2009-11-02,12
219368,Dexmethylphenidate,ADHD,4,2015-12-01,22
71353,Levora,Birth Control,1,2014-12-22,5
170700,Quetiapine,Bipolar Disorde,6,2013-10-23,23
40046,Contrave,Obesity,10,2015-05-04,46
145957,Suboxone,Opiate Dependence,9,2017-05-27,24
78170,Zyprexa,Bipolar Disorde,5,2011-12-03,36
46141,Rabeprazole,GERD,10,2013-06-24,20
21920,Eliquis,Thromboembolic Stroke Prophylaxis,1,2017-12-05,0
200445,Varenicline,Smoking Cessation,9,2012-08-15,2
2027,Metformin,"Diabetes, Type 2",10,2017-03-07,60
24064,Tretinoin,Acne,10,2016-06-19,5
199549,NP Thyroid,Underactive Thyroid,8,2017-03-13,21
6788,Beyaz,Birth Control,1,2011-12-06,32
159073,TriNessa,Ovarian Cysts,2,2015-12-08,2
107159,Implanon,Birth Control,2,2012-06-30,1
114216,Keppra,Seizures,9,2008-04-01,78
37592,Vyvanse,ADHD,6,2010-09-11,13
61063,Urea,Dry Skin,9,2017-03-31,3
143249,Etonogestrel,Birth Control,10,2017-04-06,7
103637,Synthroid,Underactive Thyroid,2,2011-04-13,77
33156,Seasonique,Abnormal Uterine Bleeding,4,2011-11-14,21
143480,Etonogestrel,Birth Control,1,2017-02-04,3
150994,Sulfamethoxazole / trimethoprim,Acne,8,2009-01-11,31
5529,Almotriptan,Migraine,10,2009-04-23,12
107688,Implanon,Birth Control,10,2010-05-17,5
111856,Gianvi,Acne,9,2013-01-07,13
120524,Dapagliflozin,"Diabetes, Type 2",1,2015-09-20,14
52231,Adipex-P,Weight Loss,10,2010-01-25,125
176555,Lorazepam,Anxiety,10,2012-04-30,28
217060,Oxcarbazepine,Bipolar Disorde,10,2014-01-10,39
106097,Atomoxetine,ADHD,9,2009-09-12,67
88802,Necon 1 / 35,Polycystic Ovary Syndrome,8,2015-12-30,6
176458,Lorazepam,Anxiety,8,2013-10-28,61
159474,Nefazodone,Depression,10,2014-12-27,38
51039,Azithromycin,Chlamydia Infection,8,2016-12-08,6
184674,Aclidinium,COPD,8,2013-06-11,27
210596,Mirtazapine,Depression,1,2017-08-26,11
114198,Fiorinal,Pain,10,2015-03-26,13
75131,Linezolid,Methicillin-Resistant Staphylococcus Aureus Infection,8,2016-02-28,5
68601,Medroxyprogesterone,Birth Control,10,2017-03-18,6
135018,Dapsone,Acne,9,2017-01-23,11
222804,Topamax,Bipolar Disorde,8,2014-07-30,83
24964,Lipitor,High Cholesterol,1,2017-10-03,9
117168,Synvisc-One,Osteoarthritis,1,2015-11-15,46
146886,Alprazolam,Anxiety,5,2016-03-17,41
131646,Effexor XR,Anxiety,1,2016-08-29,14
41742,Clonidine,Opiate Withdrawal,10,2014-11-06,125
66883,Seroquel,Insomnia,6,2011-06-23,17
145067,Etonogestrel,Birth Control,5,2015-11-16,5
51020,Azithromycin,Chlamydia Infection,6,2016-10-22,3
187423,Monistat 3-Day Combination Pack,Vaginal Yeast Infection,10,2017-11-16,0
70087,Basaglar,"Diabetes, Type 1",4,2017-07-14,7
196721,Paroxetine,Panic Disorde,10,2017-10-02,13
139925,Euflexxa,Osteoarthritis,9,2017-07-12,17
88696,Fluticasone,Allergic Rhinitis,1,2016-07-21,26
172835,Clonazepam,Anxiety,6,2014-10-10,20
80207,Benzonatate,Cough,9,2008-04-01,39
36377,Bismuth subcitrate potassium / metronidazole / tetracycline,Helicobacter Pylori Infection,9,2016-06-25,24
137395,Isotretinoin,Acne,10,2011-03-22,2
152586,Lortab,Pain,5,2008-05-28,25
18954,Solifenacin,Overactive Bladde,3,2010-11-17,54
214355,Tioconazole,Vaginal Yeast Infection,1,2015-12-04,2
165264,Phentermine / topiramate,Obesity,9,2013-01-15,83
112168,Gabapentin,Neuropathic Pain,1,2016-09-22,8
58763,Azelaic acid,Rosacea,8,2011-07-23,14
97029,Ambien,Insomnia,9,2014-05-18,83
143520,Etonogestrel,Birth Control,7,2017-01-17,1
174825,Exalgo,Chronic Pain,7,2016-05-01,11
176105,Desyrel,ibromyalgia,2,2010-09-25,40
10341,Breo Ellipta,"Asthma, Maintenance",10,2016-07-15,8
11673,Trulicity,"Diabetes, Type 2",8,2017-05-31,18
67991,Plan B,Emergency Contraception,8,2016-04-25,6
62482,Citalopram,Generalized Anxiety Disorde,9,2011-10-08,67
127325,Melatonin,Insomnia,1,2012-02-26,15
128283,Phentermine,Weight Loss,9,2016-01-14,20
179524,Adapalene / benzoyl peroxide,Acne,7,2017-08-28,0
73937,Ethinyl estradiol / norethindrone,Birth Control,2,2012-02-02,4
57941,Acetaminophen / hydrocodone,Back Pain,9,2011-01-27,25
27679,Colazal,Ulcerative Colitis,7,2010-11-24,9
26194,Sprintec,Birth Control,5,2016-11-29,2
74491,Ethinyl estradiol / norethindrone,Birth Control,2,2009-11-11,3
112457,Hydroxyurea,Thrombocythemia,5,2017-05-01,9
83564,Levocetirizine,Allergies,1,2017-04-11,19
28215,Lexapro,Depression,10,2015-04-20,29
205230,Acetaminophen / aspirin / caffeine,Migraine,9,2016-08-03,8
211648,Lamotrigine,Bipolar Disorde,8,2017-07-27,22
225330,Bupropion,Depression,5,2015-04-03,48
84209,Ethinyl estradiol / norgestimate,Birth Control,1,2017-03-01,6
57732,Acetaminophen / hydrocodone,Pain,8,2014-03-05,75
49632,Ethinyl estradiol / levonorgestrel,Birth Control,1,2015-07-03,5
167409,Levonorgestrel,Emergency Contraception,9,2016-03-09,15
107936,Ethinyl estradiol / norelgestromin,Birth Control,4,2016-12-02,10
230124,Diflucan,Vaginal Yeast Infection,2,2009-03-30,49
184793,Canagliflozin,"Diabetes, Type 2",3,2016-01-10,25
230846,Milnacipran,ibromyalgia,3,2016-06-16,19
36589,Fentanyl,Chronic Pain,9,2014-03-10,43
109928,Nexplanon,Birth Control,2,2016-06-06,2
206021,Pristiq,Depression,10,2008-12-24,332
213032,Tizanidine,Muscle Spasm,6,2009-07-19,52
84205,Ethinyl estradiol / norgestimate,Birth Control,9,2017-03-02,1
94959,Abilify,Obsessive Compulsive Disorde,9,2009-11-20,24
168195,Rizatriptan,Migraine,1,2016-08-25,4
68195,Plan B,Emergency Contraception,6,2015-08-20,4
202421,Lithium,Depression,10,2013-08-06,118
188835,Prevacid,GERD,9,2016-02-16,45
155926,Cialis,Erectile Dysfunction,10,2014-11-30,97
102717,Aripiprazole,Depression,10,2014-02-25,182
181735,Prozac,Depression,5,2009-11-22,27
160097,Rivaroxaban,Atrial Fibrillation,7,2017-07-28,5
102297,Clindamycin / tretinoin,Acne,9,2016-07-14,6
93059,Vortioxetine,Depression,9,2016-10-23,28
117842,Debrox,Ear Wax Impaction,1,2016-04-20,4
184312,Hydroxyzine,Sedation,5,2014-06-28,29
45947,Fluoxetine,Depression,9,2011-04-05,1
211112,Carisoprodol,Muscle Spasm,9,2008-06-03,70
47018,Thyroid desiccated,Hashimoto's disease,10,2016-09-22,55
32992,Seasonique,Birth Control,1,2015-06-07,6
118323,Naltrexone,Opiate Dependence,8,2014-04-19,116
168901,Vilazodone,Anxiety,10,2013-11-12,11
148837,Mirena,Abnormal Uterine Bleeding,2,2016-03-13,5
203469,Indomethacin,Pain,10,2008-07-26,46
114583,Estradiol Patch,Postmenopausal Symptoms,9,2015-05-31,29
108199,Bupropion / naltrexone,Obesity,1,2015-09-21,7
143244,Etonogestrel,Birth Control,7,2017-04-11,5
21234,Focalin XR,Auditory Processing Disorde,10,2013-04-27,31
48135,Nubain,Pain,9,2010-08-12,17
99075,Lutera,Birth Control,8,2014-05-09,19
143117,Etonogestrel,Birth Control,1,2017-05-23,3
167953,Kariva,Birth Control,9,2013-08-23,25
9148,Cefuroxime,Urinary Tract Infection,9,2008-07-01,86
207448,Suprep Bowel Prep Kit,Bowel Preparation,8,2016-11-22,24
108050,Ethinyl estradiol / norelgestromin,Birth Control,10,2016-02-11,0
64426,Sertraline,Depression,10,2016-06-27,102
169685,Amitriptyline,Cyclic Vomiting Syndrome,10,2011-03-26,9
151982,Chantix,Smoking Cessation,6,2011-07-16,4
209131,Skelaxin,Muscle Spasm,1,2017-04-09,8
172632,Clonazepam,Anxiety,9,2015-11-24,38
7610,Xanax,Depression,10,2016-05-09,115
81717,Liraglutide,Weight Loss,8,2017-05-08,12
220007,Amitriptyline,Pain,3,2016-05-26,54
189247,Oxycodone,Chronic Pain,10,2014-08-21,65
167879,Levonorgestrel,Abnormal Uterine Bleeding,8,2016-01-06,0
